Kaspersky	29
Kate Spade	33
Kavli	133
Kawasaki	130
Kayak	22
Kenworth	103
Keurig	34
KFC	74
Khan Academy	18
Kicks	35
Kinder	58
King	23
Kingston	39
KitchenAid	107
KitKat	91
Klättermusen	51
Klipsch	80
KLM	107
Klook	12
Koenigsegg	32
Kohl's	64
Komatsu	105
Konami	57
KONE	116
Kopparbergs	144
Korean Air	57
KPN	174
Kraft Heinz	123
Krispy Kreme	89
Krups	180
KTM	92
La Croix	46
La Liga	97
La Roche-Posay	51
Läkerol	117
Lancia	120
Lancôme	91
Land Rover	78
Lee	137
Leica	112
Leroy Merlin	103
Letterboxd	15
LG	68
Li Auto	11
Liebherr	77
Lindex	72
Line	15
Lionsgate	29
Little Caesars	67
Liverpool	134
Loewe	180
Löfbergs	120
Lonely Planet	53
Longchamp	78
Longines	194
Lotus	74
Louis Vuitton	172
Lowe's	105
Lucasfilm	55
Lucid Motors	19
Lux	127
M&M's	85
MAC Cosmetics	42
Mack Trucks	126
Magnum	37
MakeMyTrip	26
Maker's Mark	68
Makita	111
Malaco	92
Malaysia Airlines	79
Manchester City	146
Manchester United	148
Marc Jacobs	42
Marks & Spencer	142
Marriott	99
Marshalls	70
Maruti Suzuki	45
Marvel	87
Massimo Dutti	41
MasterClass	11
Matsmart	12
Mattel	81
Max Burgers	58
McLaren	63
Medium	14
Meijer	92
Mentimeter	12
Mentos	94
Mercado Libre	27
MG	102
MGM	102
Michael Kors	45
Micron	48
Migros	101
Milky Way	103
Milwaukee Tool	102
Mini	67
Minute Maid	81
Mio	64
Miro	15
Mitsubishi Electric	105
Mitsubishi Motors	56
MLB	123
MLS	33
Modelo	101
Moët & Chandon	283
Mojang	17
Moncler	74
Mondelez	14
Monki	20
Monopoly	91
Montblanc	120
Monzo	11
Morakniv	135
Morgan	116
Morrisons	127
Moto Guzzi	105
MotoGP	77
Motorola	98
Moulinex	89
Movistar	31
Mozilla	28
MTV	45
MV Agusta	81
MyFitnessPal	21
N26	13
Nabisco	128
NA-KD	11
Namecheap	26
Nando's	39
NARS	32
NASCAR	78
National Geographic	138
NBA	80
NBC	100
Netgear	30
Neutrogena	96
NFL	106
NHL	109
Niantic	16
Nickelodeon	47
Ninja	17
Nio	12
Nordstrom	125
NordVPN	14
Norwegian Cruise Line	60
Norwegian	33
Novotel	59
NTT	74
Nubank	13
Nudie Jeans	25
Nvidia	33
NYX	27
O2	24
Ocean Spray	96
Office Depot	40
Old Navy	32
Old Spice	89
O'Learys	38
Olive Garden	44
OLW	59
Omega	178
Omnipollo	16
Önos	123
Opel	164
Opera	31
OPI	45
Oral-B	76
Orange	32
Oreo	114
Oriflame	59
Oscar Mayer	143
Outback Steakhouse	38
OYO	13
P.F. Chang's	33
PacSun	46
Pagani	34
Pågen	148
Panda Express	43
Panera Bread	43
Panerai	166
Pantene	81
Papa John's	42
Paramount	114
Paris Saint-Germain	56
Patek Philippe	187
Patreon	13
Patrón	37
Peacock	6
Peak Performance	40
Peet's Coffee	60
Peloton	14
Peroni	180
Perrier	163
Petco	61
PetSmart	40
Pez	99
Piaget	152
Piaggio	142
Pinchos	14
Pioneer	88
Pizza Hut	68
Play-Doh	70
Playmobil	52
PlayStation	32
Polarn O. Pyret	50
Polaroid	89
Popeyes	54
Pottery Barn	77
Powerade	38
Premier Inn	39
Premier League	34
Pret a Manger	43
Primark	57
Primus	134
Procter & Gamble	189
Publix	96
Pull&Bear	35
Qantas	106
Qatar Airways	33
Qdoba	31
Qualcomm	41
Quiksilver	57
Quora	17
Radisson	117
Raising Cane's	30
Ram Trucks	16
Real Madrid	124
Red Lobster	58
Red Robin	57
REI	88
Rekorderlig	30
Renault	127
Revlon	94
Rewe	99
Rexona	118
Ricoh	90
Rimmel	192
Ring	13
Riot Games	20
Rip Curl	57
Risifrutti	34
Rite Aid	64
Ritz	92
Ritz-Carlton	43
Rivian	17
Robinhood	13
Rockstar Games	28
Rogers	66
Rolls-Royce	122
Ross	44
Rotten Tomatoes	28
Rowenta	142
Royal Caribbean	58
Royal Enfield	125
Rusta	40
Ryanair	42
Ryobi	83
Safeway	111
Sainsbury's	157
Saint Laurent	65
Salvatore Ferragamo	99
Sam's Club	43
San Pellegrino	127
SanDisk	38
Santa Maria	115
Saucony	128
Saudia	81
Scan	127
Schindler	152
Schwarzkopf	128
Scott	147
Screwfix	47
Seagate	48
SEAT	76
Seiko	145
Selfridges	118
Semper	87
Shark	19
Shazam	27
Sheraton	89
Shiseido	154
SIA Glass	65
Sibylla	94
Siemens	179
Signal	12
Singapore Airlines	79
Sixt	114
Skillshare	16
Skoda	131
Skyscanner	23
Smarteyes	19
Smeg	78
Snapple	54
SoFi	15
Sonic	73
Sony Music	97
Sony Pictures	39
SoundCloud	19
Sour Patch Kids	41
Southwest Airlines	59
Spirit Airlines	46
Square Enix	51
Squarespace	23
Staples	40
Starburst	66
Steak 'n Shake	92
Steam	23
SteelSeries	25
Stella Artois	100
Stuart Weitzman	40
Stüssy	46
Sun Chips	35
Sunkist	47
Supercell	16
Superdrug	62
Supreme	32
Swarovski	131
SWISS	24
Swisscom	28
Taco Bell	64
TAG Heuer	166
Take-Two	33
Tanqueray	196
TAP Air Portugal	81
Target	64
Tchibo	77
TCL	45
Telefónica	102
Telegram	13
Telstra	51
Tencent	28
Tenson	75
Tesco	107
Tetley	189
Tetra Pak	75
Texas Instruments	96
Texas Roadhouse	33
TGI Fridays	61
Thai Airways	66
The Macallan	202
The North Face	58
Thule	84
Tic Tac	57
Tiger of Sweden	123
Tim Hortons	62
Timberland	53
Tissot	173
TJ Maxx	50
T-Mobile	30
Todoist	19
Tod's	48
Tommy Hilfiger	41
TomTom	35
Too Faced	28
Toshiba	151
Tostitos	46
Tottenham	144
TP-Link	30
Trader Joe's	59
Trello	15
TRESemmé	79
Trip.com	27
TripAdvisor	26
Triscuit	126
Triumf Glass	80
Triumph	124
Trivago	21
Truecaller	17
Tsingtao	123
Tudor	100
Turkish Airlines	93
Twizzlers	181
Tyson Foods	91
Ubiquiti	21
Ubisoft	40
Udemy	16
UEFA	72
UFC	33
UGG	48
Ulta	36
Umbro	102
Under Armour	30
Unilever	97
Uniqlo	42
United Airlines	100
Unity	22
Universal Music	92
Universal Pictures	114
Urban Decay	30
Urban Outfitters	56
Vacasa	17
Vacheron Constantin	271
Valentino	66
Valve	30
Van Cleef & Arpels	120
Venmo	17
Veuve Clicquot	254
Viator	31
Viber	16
Vichy	95
Victoria's Secret	49
Vimeo	22
VinFast	9
Vitaminwater	26
Vitamix	105
Vizio	24
VK	20
Vodafone	35
Volcom	35
Vrbo	31
Vueling	22
Waffle House	71
Wagamama	34
Wahl	107
Waitrose	122
Warner Bros	103
Warner Music	68
Wasa	107
Wayfair	24
Wayne's Coffee	32
WeChat	15
Weekday	24
Wegmans	110
Weibo	17
Wendy's	57
West Elm	24
Western Digital	56
Westin	96
WestJet	32
Whataburger	76
WhatsApp	17
White Castle	105
Whole Foods	46
WHOOP	14
Wikipedia	25
Williams-Sonoma	70
Willys	51
Wingstop	32
Wise	15
Wix	20
Wizz Air	23
WordPress	23
Wrangler	79
WWE	46
Wyndham	45
Xfinity	16
Xiaomi	16
Xpeng	12
Yahoo	32
Yandex	29
Yelp	22
Zalando	18
Zara	51
Zoégas	140
Zoom	15
Zynga	19
