fråga;källa;år
Vilket av märkena är äldst? (Boehringer Ingelheim/Geico);Boehringer Ingelheim grundat 1885 (en.wikipedia.org/wiki/Boehringer_Ingelheim); Geico grundat 1936 (en.wikipedia.org/wiki/GEICO);2026
Vilket av märkena är äldst? (Amgen/Liberty Mutual);Amgen grundat 1980 (en.wikipedia.org/wiki/Amgen); Liberty Mutual grundat 1912 (en.wikipedia.org/wiki/Liberty_Mutual);2026
Vilket av märkena är äldst? (Regeneron/Schlumberger);Regeneron grundat 1988 (en.wikipedia.org/wiki/Regeneron_Pharmaceuticals); Schlumberger grundat 1926 (en.wikipedia.org/wiki/SLB_(company));2026
Vilket av märkena är äldst? (Kuehne+Nagel/DSV);Kuehne+Nagel grundat 1890 (en.wikipedia.org/wiki/Kuehne%2BNagel); DSV grundat 1976 (en.wikipedia.org/wiki/DSV_(company));2026
Vilket av märkena är äldst? (UPS/DSV);UPS grundat 1907 (en.wikipedia.org/wiki/United_Parcel_Service); DSV grundat 1976 (en.wikipedia.org/wiki/DSV_(company));2026
Vilket av märkena är äldst? (Dow/AkzoNobel);Dow Chemical grundat 1897 (en.wikipedia.org/wiki/Dow_Chemical_Company); AkzoNobel (sammanslagning) 1994 (en.wikipedia.org/wiki/AkzoNobel);2026
Vilket av märkena är äldst? (Air Liquide/AkzoNobel);Air Liquide grundat 1902 (en.wikipedia.org/wiki/Air_Liquide); AkzoNobel (sammanslagning) 1994 (en.wikipedia.org/wiki/AkzoNobel);2026
Vilket av märkena är äldst? (Baker Hughes/Marvell);Baker Hughes/Baker International-rötter 1907 (en.wikipedia.org/wiki/Baker_Hughes); Marvell grundat 1995 (en.wikipedia.org/wiki/Marvell_Technology);2026
Vilket av märkena är äldst? (Takeda/GSK);Takeda grundat 1781 (en.wikipedia.org/wiki/Takeda_Pharmaceutical_Company); GSK (sammanslagning) 2000 (en.wikipedia.org/wiki/GSK_plc);2026
Vilket av märkena är äldst? (Merck/Regeneron);Merck (Merck Group) grundat 1668 (en.wikipedia.org/wiki/Merck_Group); Regeneron grundat 1988 (en.wikipedia.org/wiki/Regeneron_Pharmaceuticals);2026
Vilket av märkena är äldst? (ConocoPhillips/Scotiabank);ConocoPhillips (sammanslagning) 2002 (en.wikipedia.org/wiki/ConocoPhillips); Scotiabank grundat 1832 (en.wikipedia.org/wiki/Scotiabank);2026
Vilket av märkena är äldst? (ExxonMobil/HSBC);ExxonMobil (sammanslagning) 1999 (en.wikipedia.org/wiki/ExxonMobil); HSBC grundat 1865 (en.wikipedia.org/wiki/HSBC);2026
Vilket av märkena är äldst? (DocuSign/National Instruments);DocuSign grundat 2003 (en.wikipedia.org/wiki/DocuSign); National Instruments grundat 1976 (en.wikipedia.org/wiki/National_Instruments);2026
Vilket av märkena är äldst? (Automattic/Seagate);Automattic grundat 2005 (en.wikipedia.org/wiki/Automattic); Seagate grundat 1978 (en.wikipedia.org/wiki/Seagate_Technology);2026
Vilket av märkena är äldst? (Asana/Juniper Networks);Asana grundat 2008 (en.wikipedia.org/wiki/Asana_(software)); Juniper Networks grundat 1996 (en.wikipedia.org/wiki/Juniper_Networks);2026
Vilket av märkena är äldst? (Heroku/Boehringer Ingelheim);Heroku grundat 2007 (en.wikipedia.org/wiki/Heroku); Boehringer Ingelheim grundat 1885 (en.wikipedia.org/wiki/Boehringer_Ingelheim);2026
