fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga;källa
Vilket av märkena är äldst?;SEB;Avanza;170;27;år;Hur många år skiljer dem åt?;Wikipedia (SEB arv från Stockholms Enskilda Bank 1856, Avanza 1999)
Vilket av märkena är äldst?;Nordnet;Handelsbanken;30;155;år;Hur många år skiljer dem åt?;Wikipedia/nordnetab.com (Nordnet 1996, Handelsbanken 1871)
Vilket av märkena är äldst?;Folksam;Investor AB;118;110;år;Hur många år skiljer dem åt?;Wikipedia (Folksam 1908, Investor AB 1916)
Vilket av märkena är äldst?;SBAB;Ratos;41;92;år;Hur många år skiljer dem åt?;Wikipedia/sbab.se (SBAB 1985, Ratos 1934)
Vilket märke har flest anställda?;Nordea;SEB;30157;19000;anställda;Hur många anställda skiljer det?;Årsredovisning 2024 (Nordea 30157, SEB ca 19000)
Vilket märke har flest anställda?;If;Swedbank;10000;18568;anställda;Hur många anställda skiljer det?;if.se / swedbank.com fakta 2024 (If ca 10000, Swedbank 18568)
Vilket märke har flest anställda?;Handelsbanken;Intrum;12644;9707;anställda;Hur många anställda skiljer det?;Årsredovisning 2024 (Handelsbanken 12644, Intrum 9707)
Vilket märke har flest anställda?;SBAB;Folksam;958;3300;anställda;Hur många anställda skiljer det?;Årsredovisning 2024 (SBAB 958, Folksam ca 3300)
Vilket märke har flest anställda?;Intrum;Nordnet;9707;800;anställda;Hur många anställda skiljer det?;intrum.com 2024 (Intrum 9707, Nordnet 800)
Vilket märke har flest anställda?;Avanza;Resurs Bank;679;673;anställda;Hur många anställda skiljer det?;Bokslutskommuniké 2024 (Avanza 679 Q4, Resurs Holding 673)
Vilket märke har störst börsvärde? (2024);Investor AB;EQT;970;349;miljarder kr;Hur många miljarder kronor skiljer det?;Nasdaq Stockholm årsslut 2024 (Investor AB ca 970, EQT ca 349)
Vilket märke har störst börsvärde? (2024);SEB;Nordea;294;399;miljarder kr;Hur många miljarder kronor skiljer det?;Nasdaq Stockholm 2024 (SEB 294, Nordea 399)
Vilket märke har störst börsvärde? (2024);Swedbank;Avanza;234;40;miljarder kr;Hur många miljarder kronor skiljer det?;Nasdaq Stockholm 2024 (Swedbank 234, Avanza ca 40)
Vilket märke har störst börsvärde? (2024);Kinnevik;Investor AB;22;970;miljarder kr;Hur många miljarder kronor skiljer det?;Nasdaq Stockholm årsslut 2024 (Kinnevik ca 22, Investor AB ca 970)
Vilket märke har störst börsvärde? (2024);Industrivärden;EQT;151;349;miljarder kr;Hur många miljarder kronor skiljer det?;Nasdaq Stockholm årsslut 2024 (Industrivärden 151, EQT 349)
Vilket märke har störst omsättning? (2024);Nordea;Intrum;137;18;miljarder kr;Hur många miljarder kronor skiljer det?;Årsredovisning 2024 (Nordea totala intäkter 12,1 md EUR ca 137 md kr, Intrum 18 md kr)
Vilket märke har störst omsättning? (2024);Intrum;SEB;18;90;miljarder kr;Hur många miljarder kronor skiljer det?;Årsredovisning 2024 (Intrum 18 md kr, SEB ca 90 md kr)
Vilket märke har störst omsättning? (2024);Avanza;Swedbank;5;75;miljarder kr;Hur många miljarder kronor skiljer det?;Årsredovisning 2024 (Avanza ca 5 md kr, Swedbank 74 md kr)
Vilket av märkena är äldst?;Hästens;Daniel Wellington;174;15;år;Hur många år skiljer dem åt?;Wikipedia/hastens.com (Hästens 1852, Daniel Wellington 2011)
Vilket av märkena är äldst?;Happy Socks;Levi's;18;173;år;Hur många år skiljer dem åt?;Wikipedia (Happy Socks 2008, Levi's 1853)
Vilket av märkena är äldst?;Tiger of Sweden;Acne Studios;123;30;år;Hur många år skiljer dem åt?;Wikipedia (Tiger of Sweden 1903, Acne Studios 1996)
Vilket av märkena är äldst?;Peak Performance;Haglöfs;40;112;år;Hur många år skiljer dem åt?;Wikipedia (Peak Performance 1986, Haglöfs 1914)
Vilket av märkena är äldst?;Gant;Craft Sportswear;77;49;år;Hur många år skiljer dem åt?;Wikipedia (Gant 1949, Craft Sportswear 1977)
Vilket av märkena är äldst?;Fjällräven;Nike;66;62;år;Hur många år skiljer dem åt?;Wikipedia (Fjällräven 1960, Nike/Blue Ribbon Sports 1964)
Vilket av märkena är äldst?;Björn Borg;Filippa K;42;33;år;Hur många år skiljer dem åt?;Wikipedia (Björn Borg 1984, Filippa K 1993)
Vilket av märkena är äldst?;Adidas;Haglöfs;77;112;år;Hur många år skiljer dem åt?;Wikipedia (Adidas 1949, Haglöfs 1914)
Vilket av märkena är äldst?;Hästens;Tiger of Sweden;174;123;år;Hur många år skiljer dem åt?;Wikipedia (Hästens 1852, Tiger of Sweden 1903)
Vilket av märkena är äldst?;J.Lindeberg;Fjällräven;30;66;år;Hur många år skiljer dem åt?;Wikipedia (J.Lindeberg 1996, Fjällräven 1960)
Vilket av märkena är äldst?;Levi's;Craft Sportswear;173;49;år;Hur många år skiljer dem åt?;Wikipedia (Levi's 1853, Craft Sportswear 1977)
Vilket märke finns i flest länder?;Nike;Gant;190;70;länder;Hur många länder skiljer det?;nike.com/gant.com (Nike ca 190 länder, Gant ca 70 marknader)
Vilket märke finns i flest länder?;Daniel Wellington;Fjällräven;100;73;länder;Hur många länder skiljer det?;Företagens marknadsöversikt 2024 (Daniel Wellington ca 100, Fjällräven ca 73 - ungefärliga)
Vilket märke finns i flest länder?;Adidas;Haglöfs;160;30;länder;Hur många länder skiljer det?;Företagens marknadsöversikt 2024 (Adidas ca 160 marknader, Haglöfs ca 30)
Vilket märke är värt mest som varumärke? (2024);Nike;Adidas;45,4;15,5;miljarder USD;Hur många miljarder dollar skiljer det?;Interbrand/Brand Finance 2024 (Nike ca 45,4 md USD, Adidas ca 15,5 md USD)
Vilket märke har störst omsättning? (2024);Nike;Adidas;545;268;miljarder kr;Hur många miljarder kronor skiljer det?;Årsredovisning 2024 (Nike 51,4 md USD ca 545 md kr, Adidas 23,7 md EUR ca 268 md kr)
Vilket av märkena är äldst?;Mölnlycke;AstraZeneca;177;27;år;Hur många år skiljer dem åt?;Wikipedia/molnlycke.com (Mölnlycke textilarv 1849, AstraZeneca 1999)
Vilket av märkena är äldst?;Elekta;Getinge;54;122;år;Hur många år skiljer dem åt?;Wikipedia (Elekta 1972, Getinge 1904)
Vilket märke har flest anställda?;AstraZeneca;Getinge;94300;11791;anställda;Hur många anställda skiljer det?;Årsredovisning 2024 (AstraZeneca 94300, Getinge 11791)
Vilket märke har flest anställda?;Mölnlycke;Getinge;8668;11791;anställda;Hur många anställda skiljer det?;Årsredovisning 2024 (Mölnlycke 8668, Getinge 11791)
Vilket märke har störst omsättning? (2024);Getinge;Sobi;35;26;miljarder kr;Hur många miljarder kronor skiljer det?;Årsredovisning 2024 (Getinge nettoomsättning 34,8 md kr, Sobi ca 26 md kr)
Vilket av märkena är äldst?;Volvo;Scania;99;135;år;Hur många år skiljer dem åt?;Wikipedia (Volvo grundat 1927, Scania 1891)
Vilket av märkena är äldst?;Saab;Polestar;89;9;år;Hur många år skiljer dem åt?;Wikipedia (Saab 1937, Polestar 2017)
Vilket av märkena är äldst?;Stena Line;SJ;64;170;år;Hur många år skiljer dem åt?;Wikipedia (Stena Line 1962, SJ/Statens Järnvägar 1856)
Vilket av märkena är äldst?;Koenigsegg;Voi;32;8;år;Hur många år skiljer dem åt?;Wikipedia (Koenigsegg 1994, Voi 2018)
Vilket av märkena är äldst?;Polestar;Mercedes-Benz;9;100;år;Hur många år skiljer dem åt?;Wikipedia (Polestar 2017, Mercedes-Benz 1926)
Vilket av märkena är äldst?;Audi;Porsche;117;95;år;Hur många år skiljer dem åt?;Wikipedia (Audi 1909, Porsche 1931)
Vilket av märkena är äldst?;Einride;BMW;10;110;år;Hur många år skiljer dem åt?;Wikipedia (Einride 2016, BMW 1916)
Vilket av märkena är äldst?;Stena Line;Volvo Trucks;64;98;år;Hur många år skiljer dem åt?;Wikipedia (Nobina-varumärket 2009/rötter oklart, Volvo Trucks 1928) - FLAGGAD: Nobina 1952 ej belagd
Vilket av märkena är äldst?;Toyota;Hyundai;89;59;år;Hur många år skiljer dem åt?;Wikipedia (Toyota 1937, Hyundai Motor 1967)
Vilket av märkena är äldst?;SAS;Voi;80;8;år;Hur många år skiljer dem åt?;Wikipedia (SAS 1946, Voi 2018)
Vilket märke är värt mest som varumärke? (2024);BMW;Toyota;52;72,8;miljarder USD;Hur många miljarder dollar skiljer det?;Interbrand Best Global Brands 2024 (Toyota 72,8 / BMW 52 mdr USD)
Vilket märke är värt mest som varumärke? (2024);Tesla;Mercedes-Benz;45,5;58,9;miljarder USD;Hur många miljarder dollar skiljer det?;"Interbrand Best Global Brands 2024 (Mercedes-Benz 58,9 / Tesla 45,5 mdr USD; Tesla -9%)"
Vilket märke är värt mest som varumärke? (2024);Hyundai;Audi;23;17,3;miljarder USD;Hur många miljarder dollar skiljer det?;Interbrand Best Global Brands 2024 (Hyundai 23 / Audi 17,3 mdr USD)
Vilket märke är värt mest som varumärke? (2024);Volkswagen;Hyundai;16;23;miljarder USD;Hur många miljarder dollar skiljer det?;Interbrand Best Global Brands 2024 (Hyundai 23 / Volkswagen ca 16 mdr USD, rank 49)
Vilket märke är värt mest som varumärke? (2024);Tesla;Audi;45,5;17,3;miljarder USD;Hur många miljarder dollar skiljer det?;Interbrand Best Global Brands 2024 (Tesla 45,5 / Audi 17,3 mdr USD)
Vilket märke är värt mest som varumärke? (2024);BMW;Volkswagen;52;16;miljarder USD;Hur många miljarder dollar skiljer det?;Interbrand Best Global Brands 2024 (BMW 52 / Volkswagen ca 16 mdr USD)
Vilket märke har störst börsvärde? (2024);Toyota;Tesla;2782;14543;miljarder kr;Hur många miljarder kronor skiljer det?;"Börsvärde dec 2024 (StatMuse: Tesla ~1,4 bn USD, Toyota ~246 mdr USD; SEK-omräknat)"
Vilket märke har störst börsvärde? (2024);Volvo;Saab;521;120;miljarder kr;Hur många miljarder kronor skiljer det?;"Börsvärde dec 2024 (AB Volvo ~520 mdr kr; Saab AB 535M aktier x ~225 kr = ~120 mdr kr)"
Vilket märke har störst börsvärde? (2024);Porsche;Mercedes-Benz;460;495;miljarder kr;Hur många miljarder kronor skiljer det?;"Börsvärde dec 2024 (Mercedes-Benz ~660 mdr kr > Porsche AG ~610 mdr kr; SEK-omräknat)"
Vilket märke har störst börsvärde? (2024);Porsche;Saab;460;120;miljarder kr;Hur många miljarder kronor skiljer det?;Börsvärde dec 2024 (Porsche AG ~460 mdr kr > Saab AB ~120 mdr kr)
Vilket märke har störst börsvärde? (2024);Tesla;Ferrari;14543;812;miljarder kr;Hur många miljarder kronor skiljer det?;"Börsvärde dec 2024 (Tesla ~1,4 bn USD >> Ferrari ~76 mdr USD; SEK-omräknat)"
Vilket märke har störst börsvärde? (2024);Ferrari;Volvo;812;521;miljarder kr;Hur många miljarder kronor skiljer det?;Börsvärde dec 2024 (Ferrari ~76 mdr USD/~810 mdr kr > AB Volvo ~520 mdr kr)
Vilket märke har flest anställda?;Toyota;Volkswagen;380793;679472;anställda;Hur många anställda skiljer det?;VW Annual Report 2024 (679 472) / Toyota 2024 (380 793)
Vilket märke har flest anställda?;Scania;BMW;59000;159000;anställda;Hur många anställda skiljer det?;BMW Group Report 2024 (159 104) / Scania (59 000)
Vilket märke har flest anställda?;Mercedes-Benz;Hyundai;175264;120000;anställda;Hur många anställda skiljer det?;Mercedes-Benz Group 2024 (175 264) / Hyundai Motor (~120 000)
Vilket märke har störst omsättning? (2024);Volvo;Volvo Cars;526,8;400,2;miljarder kr;Hur många miljarder kronor skiljer det?;Volvo Group årsredovisning 2024 (526,8 mdr kr) / Volvo Cars 2024 (400,2 mdr kr)
Vilket märke har störst omsättning? (2024);SAS;Volvo Cars;45,9;400,2;miljarder kr;Hur många miljarder kronor skiljer det?;SAS årsredovisning FY2024 (45,9 mdr kr) / Volvo Cars 2024 (400,2 mdr kr)
Vilket märke har störst omsättning? (2024);SAS;Scania;45,9;216,1;miljarder kr;Hur många miljarder kronor skiljer det?;SAS FY2024 (45,9 mdr kr) / Scania 2024 (216,1 mdr kr)
Vilket av märkena är äldst?;Holmen;Bahco;417;140;år;Hur många år skiljer dem åt?;Holmen grundat 1609 (en.wikipedia.org/wiki/Holmen_(company)) / Bahco grundat 1886 (en.wikipedia.org/wiki/Bahco) — ålder = 2026 − grundår
Vilket av märkena är äldst?;Securitas;Atlas Copco;92;153;år;Hur många år skiljer dem åt?;Securitas grundat 1934 (securitas.com/about-us/our-history) / Atlas Copco grundat 1873 (atlascopcogroup.com/about-us/history)
Vilket av märkena är äldst?;Epiroc;Tetra Pak;8;75;år;Hur många år skiljer dem åt?;Epiroc avknoppat 2018 (en.wikipedia.org/wiki/Epiroc) / Tetra Pak grundat 1951 (en.wikipedia.org/wiki/Tetra_Pak)
Vilket av märkena är äldst?;SCA;Dometic;97;25;år;Hur många år skiljer dem åt?;SCA grundat 1929 (en.wikipedia.org/wiki/SCA_(company)) / Dometic Group AB bildat 2001 (en.wikipedia.org/wiki/Dometic_Group)
Vilket av märkena är äldst?;Bahco;Sweco;140;29;år;Hur många år skiljer dem åt?;Bahco grundat 1886 (bahco.com/who-is-bahco) / Sweco AB bildat 1997 (en.wikipedia.org/wiki/Sweco)
Vilket av märkena är äldst?;Stiga;Trelleborg;92;121;år;Hur många år skiljer dem åt?;Stiga grundat 1934 (en.wikipedia.org/wiki/Stiga) / Trelleborg grundat 1905 (trelleborg.com)
Vilket märke har flest anställda?;Atlas Copco;Securitas;55267;333869;anställda;Hur många anställda skiljer det?;Atlas Copco Årsredovisning 2024 (~55 000) / Securitas Full Year Report 2024 (~336 000)
Vilket märke har flest anställda?;Assa Abloy;Sandvik;63000;41447;anställda;Hur många anställda skiljer det?;Assa Abloy Annual Report 2024 (63 000) / Sandvik Annual Report 2024 (41 447 FTE)
Vilket märke har flest anställda?;Thule;Electrolux;2800;41000;anställda;Hur många anställda skiljer det?;Thule Group Year-end report 2024 (~2 800) / Electrolux Year-end report 2024 (~41 000)
Vilket märke har flest anställda?;Alfa Laval;Peab;22300;13000;anställda;Hur många anställda skiljer det?;Alfa Laval 2024 (22 323) / Peab Year-end report 2024 (~13 093)
Vilket märke har flest anställda?;JM;Epiroc;2200;19000;anställda;Hur många anställda skiljer det?;JM koncern (~2 200) / Epiroc Annual Report 2024 (18 874)
Vilket märke har flest anställda?;Dometic;Sweco;7000;22000;anställda;Hur många anställda skiljer det?;Dometic 2024 (7 000) / Sweco Annual Report 2024 (~20 500-22 000)
Vilket märke har flest anställda?;Munters;Stiga;5400;1270;anställda;Hur många anställda skiljer det?;Munters Annual Report 2024 (~5 400) / Stiga Group 2024 (~1 270, PitchBook)
Vilket märke har flest anställda?;Tetra Pak;Holmen;24546;3500;anställda;Hur många anställda skiljer det?;Tetra Pak (~24 546, GlobalData) / Holmen 2024 (~3 498)
Vilket märke har flest anställda?;Essity;JM;36000;2200;anställda;Hur många anställda skiljer det?;Essity 2024 (36 000) / JM koncern (~2 200)
Vilket märke har störst omsättning? (2024);Electrolux;Skanska;136,2;177,2;miljarder kr;Hur många miljarder kronor skiljer det?;Atlas Copco 2024 (176,7 mdr) / Skanska Year-end report 2024 (177,2 mdr)
Vilket märke har störst omsättning? (2024);Securitas;Husqvarna;161,9;48,4;miljarder kr;Hur många miljarder kronor skiljer det?;Securitas Helårsrapport 2024 (~161,9 mdr) / Husqvarna Annual Report 2024 (48,4 mdr)
Vilket märke har störst omsättning? (2024);Dometic;Sandvik;25,0;122,9;miljarder kr;Hur många miljarder kronor skiljer det?;Dometic 2024 (~25 mdr) / Sandvik 2024 (~123 mdr)
Vilket märke har störst omsättning? (2024);Peab;SKF;59,0;98,7;miljarder kr;Hur många miljarder kronor skiljer det?;Peab Year-end report 2024 (~58,7 mdr) / SKF Year-end report 2024 (98,7 mdr)
Vilket märke har störst omsättning? (2024);Epiroc;Hexagon;63,6;62,0;miljarder kr;Hur många miljarder kronor skiljer det?;Epiroc 2024 (63,6 mdr) / Hexagon 2024 (~5,4 mdr EUR ≈ 62 mdr SEK)
Vilket märke har störst omsättning? (2024);Munters;Trelleborg;15,0;34,2;miljarder kr;Hur många miljarder kronor skiljer det?;Munters 2024 (~15,5 mdr) / Trelleborg Annual Report 2024 (~34 mdr)
Vilket märke har störst omsättning? (2024);Electrolux;SSAB;136,2;103,4;miljarder kr;Hur många miljarder kronor skiljer det?;Electrolux Year-end report 2024 (136,2 mdr) / SSAB Year-end report 2024 (~103,4 mdr)
Vilket märke har störst omsättning? (2024);NIBE;Thule;40,5;9,5;miljarder kr;Hur många miljarder kronor skiljer det?;NIBE Year-end Report 2024 (40,5 mdr) / Thule 2024 (9,5 mdr)
Vilket märke har störst omsättning? (2024);SCA;Boliden;20,2;93,5;miljarder kr;Hur många miljarder kronor skiljer det?;SCA 2024 (20,2 mdr) / Boliden 2024 (~90-93 mdr)
Vilket märke har störst börsvärde? (2024);Atlas Copco;Assa Abloy;800;360;miljarder kr;Hur många miljarder kronor skiljer det?;Atlas Copco börsvärde ult. 2024 (~800 mdr, årsredovisning) / Assa Abloy ult. 2024 (~$33 mdr ≈ 360 mdr SEK, companiesmarketcap.com)
Vilket märke har störst börsvärde? (2024);Essity;Sandvik;208;249;miljarder kr;Hur många miljarder kronor skiljer det?;Essity börsvärde 31 dec 2024 (~208 mdr) / Sandvik börsvärde ult. 2024 (~249 mdr, årsredovisning)
Vilket märke har störst börsvärde? (2024);Hexagon;Alfa Laval;272;191;miljarder kr;Hur många miljarder kronor skiljer det?;Hexagon ult. 2024 (~$25,9 mdr ≈ 272 mdr SEK, companiesmarketcap.com) / Alfa Laval börsvärde ult. 2024 (~191 mdr, årsredovisning)
Vilket märke har störst börsvärde? (2024);Boliden;SKF;85;98;miljarder kr;Hur många miljarder kronor skiljer det?;Boliden ult. 2024 (~$7,8 mdr ≈ 85 mdr SEK, companiesmarketcap.com) / SKF börsvärde ult. 2024 (~98 mdr)
Vilket av märkena är äldst?;Spendrups;Carlsberg;129;179;år;Hur många år skiljer dem åt?;Spendrups grundat 1897 (129 år, spendrupsinternational.com/Wikipedia), Carlsberg 1847 (179 år, Carlsberg Group)
Vilket av märkena är äldst?;Findus;Heineken;85;162;år;Hur många år skiljer dem åt?;Findus grundat 1941 (85 år, findus.se/vi-paa-findus/findus-historia), Heineken 1864 (162 år, heineken.com/history)
Vilket av märkena är äldst?;Zoégas;Löfbergs;140;120;år;Hur många år skiljer dem åt?;Zoégas grundat 1886 (140 år, zoegas.se/zoegas-historia), Löfbergs 1906 (120 år, en.wikipedia.org/wiki/Löfbergs)
Vilket av märkena är äldst?;Läkerol;Wasa;117;107;år;Hur många år skiljer dem åt?;Läkerol 1909 (117 år, cloetta.com/the-history-of-lakerol), Wasa grundat 1919 (107 år, wasa.com/about-us)
Vilket av märkena är äldst?;Estrella;Carlsberg;69;179;år;Hur många år skiljer dem åt?;Estrella grundat 1957 (69 år, estrella.se/om-estrella), Carlsberg 1847 (179 år, Carlsberg Group)
Vilket av märkena är äldst?;Oatly;Zoégas;32;140;år;Hur många år skiljer dem åt?;Oatly grundat 1994 (32 år, en.wikipedia.org/wiki/Oatly), Zoégas 1886 (140 år, zoegas.se/zoegas-historia)
Vilket av märkena är äldst?;GB Glace;Cloetta;84;164;år;Hur många år skiljer dem åt?;GB Glace grundat 1942 (84 år, en.wikipedia.org/wiki/GB_Glace), Cloetta 1862 (164 år, cloetta.com/history)
Vilket av märkena är äldst?;Arla;Findus;145;85;år;Hur många år skiljer dem åt?;Arla (Arla Mejeriförening) grundat 1881 (145 år, arla.com/company/farmer-owned/history), Findus 1941 (85 år, findus.se)
Vilket av märkena är äldst?;Spendrups;OLW;129;59;år;Hur många år skiljer dem åt?;Spendrups grundat 1897 (129 år, en.wikipedia.org/wiki/Spendrups), OLW (Old London Wasa) grundat 1967 (59 år, sv.wikipedia.org/wiki/OLW)
Vilket av märkena är äldst?;Pepsi;Estrella;128;69;år;Hur många år skiljer dem åt?;Pepsi (Pepsi-Cola) 1898 (128 år, en.wikipedia.org/wiki/Pepsi), Estrella 1957 (69 år, estrella.se/om-estrella)
Vilket märke har störst omsättning? (2024);Arla;Lantmännen;159,0;68,0;miljarder kr;Hur många miljarder kronor skiljer det?;Arla 2024 EUR 13,8 mdr ≈ 159 mdr kr (arla.com/news 2024), Lantmännen 68,0 mdr kr 2024 (lantmannen.com)
Vilket märke har störst omsättning? (2024);Coca-Cola;Carlsberg;490,0;110,0;miljarder kr;Hur många miljarder kronor skiljer det?;Coca-Cola Company 2024 ca USD 47 mdr ≈ 490 mdr kr (SEC 10-K 2024), Carlsberg 2024 DKK 75 mdr ≈ 110 mdr kr (carlsberggroup.com)
Vilket märke har störst omsättning? (2024);Cloetta;Kopparbergs;8,6;2,4;miljarder kr;Hur många miljarder kronor skiljer det?;Cloetta 2024 8,6 mdr kr (cloetta.com årsredovisning 2024), Kopparbergs 2,4 mdr kr 2024 (allabolag.se)
Vilket märke har störst omsättning? (2024);Oatly;Nestlé;8,6;1090,0;miljarder kr;Hur många miljarder kronor skiljer det?;Oatly 2024 8,6 mdr kr (oatly.com annual report 2024), Nestlé 2024 CHF 91,4 mdr ≈ 1090 mdr kr (nestle.com full-year-results-2024)
Vilket märke har störst omsättning? (2024);Spendrups;Lantmännen;5,0;68,0;miljarder kr;Hur många miljarder kronor skiljer det?;Spendrups passerade 5 mdr kr 2023 (dagligvarunytt.se/Wikipedia), Lantmännen 68,0 mdr kr 2024 (lantmannen.se pressmeddelande 2024)
Vilket märke har störst omsättning? (2024);Kopparbergs;Lantmännen;2,4;68,0;miljarder kr;Hur många miljarder kronor skiljer det?;Kopparbergs 2,4 mdr kr 2024 (allabolag.se), Lantmännen 68,0 mdr kr 2024 (lantmannen.com)
Vilket märke finns i flest länder?;Coca-Cola;Carlsberg;200;150;länder;Hur många länder skiljer det?;Coca-Cola ca 200 länder (coca-colacompany.com), Carlsberg ca 150 marknader (carlsberggroup.com)
Vilket märke finns i flest länder?;Nestlé;Absolut Vodka;185;126;länder;Hur många länder skiljer det?;Nestlé 185 länder (nestle.com), Absolut Vodka 126 länder (absolut.com/Pernod Ricard)
Vilket märke finns i flest länder?;Heineken;Oatly;190;20;länder;Hur många länder skiljer det?;Heineken ca 190 länder (theheinekencompany.com), Oatly ca 20 länder (oatly.com)
Vilket märke finns i flest länder?;Absolut Vodka;Findus;126;40;länder;Hur många länder skiljer det?;Coca-Cola ca 200 länder (coca-colacompany.com), Findus ca 40 länder (findus.com/Nomad Foods)
Vilket av märkena är äldst?;Cloetta;Läkerol;164;117;år;Hur många år skiljer dem åt?;Cloetta grundat 1862 (164 år, cloetta.com/history), Läkerol 1909 (117 år, cloetta.com/the-history-of-lakerol)
Vilket märke har flest anställda?;Coca-Cola;Pepsi;69700;319000;anställda;Hur många anställda skiljer det?;Coca-Cola Company 69 700 anställda 2024 (SEC 10-K 2024), PepsiCo 319 000 anställda 2024 (statista.com/PepsiCo 10-K)
Vilket märke har flest anställda?;Nestlé;Heineken;259871;90000;anställda;Hur många anställda skiljer det?;Nestlé 259 871 anställda 2024 (stockanalysis.com/nestle, bokslut), Heineken ca 88 500 FTE 2024 (theheinekencompany.com FY2024)
